dates,US
2020-01-25,
2020-02-01,0.0018252146134493871
2020-02-08,0.0012168097422995913
2020-02-15,0.0006084048711497956
2020-02-22,0.0006084048711497956
2020-02-29,0.0027378219201740807
2020-03-07,0.1149885206473114
2020-03-14,0.7857548910899611
2020-03-21,7.0139955570504195
2020-03-28,30.07254017362768
2020-04-04,57.34733054727301
2020-04-11,66.72497902874039
2020-04-18,61.89789478103792
2020-04-25,63.26619733625381
2020-05-02,59.01648931127249
2020-05-09,53.80215536308316
2020-05-16,48.19144564133974
2020-05-23,47.04095202999548
2020-05-30,44.80202210416423
2020-06-06,44.25597873230729
2020-06-13,44.91366439802022
2020-06-20,54.58912706391541
2020-06-27,77.39640046870781
2020-07-04,100.63655393932329
2020-07-11,123.1043374260141
2020-07-18,141.20468654515608
2020-07-25,141.56394962157006
2020-08-01,134.01060314624533
2020-08-08,113.83863544083827
2020-08-15,110.03701760345878
2020-08-22,93.09811338334174
2020-08-29,89.17755239365245
2020-09-05,88.05169917958976
2020-09-12,72.94713564598936
2020-09-19,85.87026351408217
2020-09-26,92.88121704677684
2020-10-03,91.68996030906554
2020-10-10,102.30054126191797
2020-10-17,118.11085444605213
2020-10-24,145.607104192796
2020-10-31,170.171450865469
2020-11-07,232.1435710407872
2020-11-14,309.3051272292312
2020-11-21,360.333868987178
